Price (TL),Product Name,Ranking,Comment Count
"
35.597
","
MSI GE76 DRAGON TIAMAT CORE İ7 11800H 2.3GHZ-32GB-1TB SSD-17.3''-RTX3070 8GB-W10
","
80
","
(2)
"
"
8.677
","
ACER NITRO 5 CORE İ5 10300H 2.5GHZ-8GB-512GB SSD-15.6""-GTX1650 4GB-W10
","
80
","
(2)
"
"
18.044
","
MSI PULSE GL66 CORE İ7 11800H 2.3GHZ-16GB-512GB SSD-15.6''-RTX3050TI 4GB-W10
","
10
","
(1)
"
"
14.399
","
HP PAVILION 16-A0025NT CORE İ7 10870H 2.2GHZ-16GB-1TB SSD-16.1""GTX1660TI 6GB-W10
","
0
","
(0)
"
"
13.108
","
MSI GF65 THIN CORE İ7 10750H 2.6GHZ-8GB-512GB SSD-15.6''-GTX1660Ti 6GB-W10
","
10
","
(1)
"
"
4.399
","
LENOVO IDEAPAD DUET 3 CELERON N4020 1.1GHZ-4GBRAM-128GB eMMC-10.3""-INT-W10
","
0
","
(0)
"
"
18.735
","
ASUS ROG ZEPHYRUS G14 AMD R7 5800HS 2.8GHZ-16GB-1TB SSD-14''-RTX3060 6GB-W10
","
10
","
(1)
"
"
7.699
","
HP 15-DW3008NT CORE i5 1135G7 2.4GHZ-8GB-256GB SSD-15.6""-MX350 2GB-W10
","
80
","
(7)
"
"
5.599
","
HP 15S-FQ1002NT CORE İ5 1035G1 1.0GHZ-4GB-256GB SSD-15.6""-INT-W10
","
10
","
(1)
"
"
14.999
","
LENOVO IDEAPAD CREATOR5 CORE İ7 10750H 2.6GHZ-16GB-512SSD-15.6""-GTX1650TI4GB-W10
","
0
","
(0)
"
"
15.999
","
LENOVO LEGION 5 CORE İ7 10750H 2.6GHZ-16GB-1TB+256SSD-15.6""-GTX1660TI 6GB-W10
","
10
","
(1)
"
"
17.499
","
LENOVO LEGION 5 CORE İ7 10750H 2.6GHZ-16GB-1TB+512SSD-15.6""-RTX2060 6GB-W10
","
80
","
(4)
"
"
9.367
","
ASUS X515JF CORE İ7 1065G7 1.3GHZ-8GB RAM-512GB SSD-15.6""-MX330 2GB-W10
","
80
","
(7)
"
"
10.699
","
HP ENVY 13-BA1010NT CORE İ7 1165G7 2.8GHZ-8GB-512GB SSD-13.3""-INT-W10
","
0
","
(0)
"
"
3.352
","
ACER SWIFT 1 CELERON N4020 1.1 GHZ-4GB-128GB SSD-14""-INT-W10
","
80
","
(6)
"
"
13.380
","
MSI GF75 THIN CORE İ7 10750H 2.6GHZ-16GB-256GB SSD-17.3""-GTX1650 4GB- W10
","
10
","
(4)
"
"
10.681
","
DELL G3 15 CORE İ5 10300H 2.5GHZ-8GB RAM-1TB+256GB SSD-GTX1650TI 4GB-15.6""W10
","
10
","
(4)
"
"
15.215
","
MSI GF65 THIN CORE İ7 10750H 2.6GHZ-8GB-512GB SSD-15.6''-RTX3060 6GB-W10
","
80
","
(10)
"
"
5.899
","
HP 250 G7 CORE İ5 1035G1 1.0GHZ-8GB-256GB SSD-15.6""-INT-W10
","
80
","
(3)
"
"
14.299
","
MACBOOK PRO TOUCH BAR MYDA2TU/A M1 8GB-256GBSSD-RETİNA-13""-INT-SILVER
","
10
","
(1)
"
"
10.999
","
MACBOOK AIR MGN93TU/A M1 8GB-256GBSSD-RETİNA-13.3""-INT-SILVER
","
80
","
(48)
"
"
17.799
","
MSI GL65 LEOPARD CORE İ7 10750H 2.6GHZ-16GB-1TB SSD-15.6""-RTX2060 6GB-W10
","
10
","
(9)
"
"
22.199
","
MACBOOK PRO TOUCH BAR CORE İ5 2.0GHZ-16GB-1TB SSD-RETINA 13""-INT-SPACE GREY
","
10
","
(1)
"
"
19.999
","
MACBOOK PRO TOUCH BAR CORE İ5 2.0GHZ-16GB-512GBSSD-RETINA 13""-INT-SILVER
","
0
","
(0)
"
"
11.329
","
ASUS ZENBOOK 13 UX325 CORE İ5 1135G7 2.4GHZ-8GB RAM-512GB SSD-13.3""-INT-W10
","
0
","
(0)
"
"
14.972
","
ASUS TUF GAMING F15 CORE İ7 11800H 2.3GHZ-16GB-512GB SSD-15.6""-RTX3050TI 4GB-W10
","
0
","
(0)
"
"
19.673
","
ASUS TUF GAMING F15 CORE İ7 11800H 2.3GHZ-16GB-1TB SSD-15.6""-RTX3060 6GB-W10
","
0
","
(0)
"
"
20.764
","
ASUS ROG STRIX G15 AMD R9 5900HX 3.3GHZ-16GB-1TB SSD-15.6''-RTX3060 6GB-W10
","
0
","
(0)
"
"
10.204
","
HP ENVY X360 15-EU0022NN AMD RYZEN 5 5500U 2.1GHZ-8GB-512GB SSD-15.6""-AMD-W10
","
0
","
(0)
"
"
12.506
","
HP PAVILION 15-EC2004NT AMD RYZEN 7 5800H 3.2GHZ-16GB-512SSD-15.6""-RTX3050-W10
","
0
","
(0)
"
"
21.779
","
OMEN BY HP 15-EN1001NT RYZEN 9 5900HX 3.3GHZ-16GB-1TB SSD-15.6''RTX3070 8GB-W10
","
0
","
(0)
"
"
20.730
","
HP OMEN 15-EK1000NT CORE İ7 10870H 2.2GHZ-16GB-512GB SSD-15.6""-RTX3070 8GB-W10
","
0
","
(0)
"
"
17.378
","
OMEN BY HP 15-EN1006NT RYZEN 7 5800H 3.2GHZ-16GB-512 SSD-15.6''RTX3060 6GB-W10
","
0
","
(0)
"
"
11.386
","
VICTUS BY HP 16-E0028NT RYZEN 5 5600H 3.3GHZ-8GB-512GB-16.1''RTX3050TI 4GB-W10
","
0
","
(0)
"
"
18.327
","
HP SPECTRE X360 14-EA0007NT CORE İ7 1165G7 2.8GHZ-16GB-1TB SSD-13.5""-INT-W10
","
0
","
(0)
"
"
10.745
","
HP PAVILION 15-EC2030NT AMD RYZEN 5 5600H 3.3GHZ-8GB-256 SSD-15.6""-RTX3050Ti-W10
","
0
","
(0)
"
"
12.999
","
HP PAVILION 16-A0026NT CORE İ7 10870H 2.2GHZ-16GB-512 SSD-16.1""GTX1660TI 6GB-W10
","
0
","
(0)
"
"
9.027
","
HP PAVILION AERO 13-BE0012NT AMD RYZEN 5 5600U 2.3GHZ-8GB-512GB SSD-13.3""AMD-W10
","
0
","
(0)
"
"
7.232
","
HP 14-CF3012NT CORE İ5 1035G1 1.0GHZ-8GB-256GB SSD-14""-INT-W10
","
0
","
(0)
"
"
9.235
","
HP PAVILION 15-EC2010NT AMD RYZEN 5 5600H 3.3GHZ-8GB-256GB SSD-15.6""-GTX1650-W10
","
0
","
(0)
"
"
7.959
","
HP PAVILION 14-EC0004NT AMD RYZEN 5 5500U 2.1GHZ-8GB-512GB SSD-14""-AMD-W10
","
0
","
(0)
"
"
12.128
","
ASUS TUF GAMING F15 CORE İ5 11400H 2.2GHZ-8GB-512GB SSD-15.6""-RTX3050TI 4GB-W10
","
0
","
(0)
"
"
14.449
","
HP PAVILION 17-CD1020NT COREİ7 10750H 2.6GHZ-16GB-1TB+256-17.3""GTX1650TI 4GB-W10
","
0
","
(0)
"
"
12.149
","
HP ENVY 17-CH0002NT CORE İ5 1135G7 2.4GHZ-16GB-512GB SSD-17.3""-MX450 2GB-W10
","
0
","
(0)
"
"
9.999
","
HP PAVILION AERO 13-BE0004NT AMD RYZEN 7 5800U 1.9GHZ-8GB-512GB SSD-13.3""AMD-W10
","
0
","
(0)
"
"
11.299
","
HP PAVILION 17-CD1022NT CORE İ5 10300H 2.5GHZ-8GB-512GB-17.3""-GTX1650TI 4GB-W10
","
0
","
(0)
"
"
13.871
","
MSI BRAVO 15 AMD RYZEN 7 5800H 3.2GHZ-16GB-512GB SSD-15.6''-RX5500M 4GB-W10
","
10
","
(1)
"
"
16.566
","
ASUS ROG ZEPHYRUS G14 AMD R7 5800HS 2.8GHZ-16GB-512GBSSD-14''-RTX3050TI 4GB-W10
","
0
","
(0)
"
"
12.819
","
ASUS ROG ZEPHYRUS G14 AMD R7 5800HS 2.8GHZ-8GB-512GB SSD-14''-GTX1650 4GB-W10
","
0
","
(0)
"
"
11.999
","
HUAWEI MATEBOOK 14 CORE İ5 1135G7 2.4GHZ-16GB-512GB SSD-14""-INT-GREY
","
0
","
(0)
"
"
11.416
","
MSI MODERN 14 CORE İ5 1135G7 2.4GHZ-8GB-512GB SSD-14""-MX450 2GB-W10
","
10
","
(2)
"
"
10.849
","
HP PAVILION 16-A0029NT CORE İ5 10300H 2.5GHZ-8GB-512GB-16.1""-GTX1650TI 4GB-W10
","
0
","
(0)
"
"
13.999
","
LENOVO YOGA SLIM 7 EVO CORE İ7 1165G7 2.8GHZ-16GB RAM-1TB SSD-14''-INT-W10
","
10
","
(1)
"
"
7.899
","
DYNABOOK BY TOSHIBA SATELLITE PRO İ5 1035G1 1.0GHZ-8GB-256GB SSD-15.6""-INT-W10
","
0
","
(0)
"
"
5.599
","
DYNABOOK BY TOSHIBA SATELLITE PRO İ3 1005G1 1.2 GHZ-8GB-256GB SSD-15.6""-INT-W10
","
0
","
(0)
"
"
14.092
","
ACER PREDATOR CORE İ5 10300H 2.5GHZ-16GB-512GB SSD-15.6""-GTX1660TI 6GB-W10
","
0
","
(0)
"
"
22.770
","
DELL XPS 15 CORE İ7 10750H 2.6GHZ-16GB RAM-1TB SSD-GTX1650TI 4GB-15.6""W10 PRO
","
0
","
(0)
"
"
9.999
","
HP ENVY X360 13-BD0003NT CORE İ5 1135G7 2.4GHZ-8GB-512GB SSD-13.3""-INT-W10
","
0
","
(0)
"
"
11.599
","
HP ENVY X360 13-BD0001NT CORE İ7 1165G7 2.8GHZ-8GB-512GB SSD-13.3""-INT-W10
","
80
","
(1)
"
"
13.211
","
ACER PREDATOR CORE İ5 10300H 2.5GHZ-16GB-512GB SSD-15.6""-GTX1660TI 6GB-W10
","
10
","
(1)
"
